freq,currency,estruct,ecase,geo\TIME_PERIOD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,EUR,FAM,CPL_CH2_AW100_100,IS,6.32,-21.73,-291.53,-510.32,-737.37,-941.36,-383.07,-756.29,360.41,507.03,56.08,0.0,121.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.12,0.0,0.0,0.0,,
A,EUR,FAM,CPL_CH2_AW100_100,IT,278.89,278.89,278.88,278.88,278.88,278.88,278.88,645.24,614.16,629.76,595.56,586.32,595.56,614.16,611.16,604.92,601.8,614.16,617.28,604.92,1014.6,971.16,4083.96,4448.49,4964.35,4912.53
A,EUR,FAM,CPL_CH2_AW100_100,JP,0.0,0.0,0.0,0.0,446.3,438.44,821.81,744.19,787.14,920.67,2271.16,2649.6,2341.69,1850.99,1710.5,1786.91,1996.67,1894.09,1840.49,1967.05,1969.63,1847.86,1738.75,1579.05,,
A,EUR,FAM,CPL_CH2_AW100_100,LT,0.0,0.0,0.0,0.0,174.72,347.54,347.54,361.44,361.44,361.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,1203.84,1681.44,1680.0,1862.0,2058.0,2310.0,2940.0
A,EUR,FAM,CPL_CH2_AW100_100,LU,4328.82,4437.1,5271.84,5326.64,5437.14,5529.12,5676.72,5676.72,7521.72,7521.72,7521.72,7521.72,7521.72,7521.72,7521.72,7521.72,7521.72,7613.64,7613.64,7613.64,7613.76,7613.76,7613.76,7664.28,7583.68,7770.16
A,EUR,FAM,CPL_CH2_AW100_100,LV,169.04,169.04,225.38,225.38,225.38,225.38,225.38,300.51,300.51,273.12,273.12,273.12,273.12,273.12,273.12,409.68,409.68,409.68,509.68,529.68,529.68,529.68,1200.0,1200.0,1200.0,1200.0
A,EUR,FAM,CPL_CH2_AW100_100,MT,,,,,,121.13,121.13,121.13,500.0,500.0,500.0,500.0,700.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,1000.0,1000.0,1180.0,2460.0,3460.0
A,EUR,FAM,CPL_CH2_AW100_100,NL,1752.05,1604.0,1658.45,1704.69,1715.71,1715.71,1754.0,1830.0,1865.0,1894.0,1894.0,1894.0,1848.0,1861.0,1862.0,1862.0,1920.0,1938.0,1959.0,2148.0,2155.0,2180.69,2288.17,2574.0,2475.5,2537.14
A,EUR,FAM,CPL_CH2_AW100_100,NO,2452.39,2898.46,3106.84,2914.8,2786.24,2911.65,2897.9,2904.01,2830.84,2667.34,2908.44,2987.14,3114.34,2982.05,2786.56,2601.23,2505.76,2495.98,2425.63,2533.73,2359.09,2488.96,2503.91,2503.33,,
A,EUR,FAM,CPL_CH2_AW100_100,PL,216.96,257.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.35,1409.44,1548.75,2233.8,2835.92,2760.01,2688.8,2774.11,4459.1,4528.62
A,EUR,FAM,CPL_CH2_AW100_100,PT,384.27,403.43,490.8,500.64,480.0,492.0,503.28,516.48,529.44,587.34,496.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.92,0.0
A,EUR,FAM,CPL_CH2_AW100_100,RO,,,,,,,,,208.55,226.42,239.3,237.79,226.04,228.11,226.84,453.5,448.96,441.25,433.18,424.84,744.06,1043.58,1182.65,1242.04,1408.76,1389.81
A,EUR,FAM,CPL_CH2_AW100_100,SE,2415.57,2463.51,2488.78,2498.85,2498.82,2456.31,2852.7,2854.02,2745.65,2486.09,2830.99,2990.1,3101.99,3120.85,2967.52,2886.62,2851.44,2802.25,3021.94,3003.09,3032.96,3134.09,2991.65,2770.32,2781.54,2873.59
A,EUR,FAM,CPL_CH2_AW100_100,SI,497.25,529.99,566.85,607.41,634.45,647.97,662.99,679.56,778.74,803.64,817.62,824.4,1176.36,1124.28,1124.28,1124.28,1249.2,1249.2,822.48,822.48,842.16,842.16,883.44,974.4,789.36,804.36
A,EUR,FAM,CPL_CH2_AW100_100,SK,0.0,0.0,0.0,215.1,408.95,430.19,430.19,430.19,430.19,510.0,527.76,528.24,540.96,554.4,564.48,564.48,564.48,564.48,568.32,584.16,598.8,612.0,818.8,1440.0,2247.12,1550.0
A,EUR,FAM,CPL_CH2_AW100_100,TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,EUR,FAM,CPL_CH2_AW100_100,UK,2132.97,2161.55,2174.83,2024.97,2116.73,2165.63,2229.56,2307.38,2052.9,1943.05,2048.41,2024.72,2167.07,2069.11,2202.48,2478.0,2188.84,2046.05,2027.46,2049.09,,,,,,
A,EUR,FAM,CPL_CH2_AW100_100,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5077.92,4734.93,0.0,0.0,,
A,EUR,FAM,CPL_CH2_AW100_33,AT,4338.57,4338.57,4341.6,4516.8,4516.8,4516.8,4516.8,4516.8,4516.8,4971.4,4971.4,4896.8,4896.8,4896.8,4964.0,5031.2,5098.4,5098.4,5168.0,5168.0,5888.0,5168.0,,,5336.1,5581.4
A,EUR,FAM,CPL_CH2_AW100_33,BE,2881.91,2857.1,2933.19,2937.96,2996.64,3082.24,3133.29,3282.12,3542.67,3610.89,3527.25,3623.3,3719.36,3773.04,3773.04,3756.04,3800.73,3876.75,3933.08,3985.78,3982.68,4042.19,,,4303.07,4389.25
A,EUR,FAM,CPL_CH2_AW100_33,BG,,,,,,,,,,,,,,,,,,,,,,,,,153.39,153.39
A,EUR,FAM,CPL_CH2_AW100_33,CH,3210.73,3377.69,3511.93,3420.98,3398.11,3388.23,3335.24,3231.27,4261.69,3973.51,4346.88,4867.76,4978.01,4873.69,4939.9,5618.5,5503.58,5397.14,5194.81,5393.74,5604.86,5549.9,,,,
A,EUR,FAM,CPL_CH2_AW100_33,CY,,,,,,405.86,406.6,401.82,,,,,,,1040.0,,,1040.0,1040.0,1055.7,1060.49,1060.49,,,895.58,957.58
A,EUR,FAM,CPL_CH2_AW100_33,CZ,651.6,579.99,686.68,599.14,500.39,512.52,547.88,1370.15,1278.4,1033.7,1050.54,595.36,582.13,563.51,531.67,536.68,541.54,556.1,851.56,850.8,825.55,1188.77,,,0.0,0.0
A,EUR,FAM,CPL_CH2_AW100_33,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6000.0,6120.0
A,EUR,FAM,CPL_CH2_AW100_33,DK,2549.04,2630.13,2718.52,2812.66,2865.63,2921.17,2952.1,3010.23,3065.45,3120.52,3656.09,3655.54,3671.83,3728.13,3810.16,3724.78,3747.92,3763.34,3711.16,3664.3,3699.12,3733.49,,,4350.24,4492.32
A,EUR,FAM,CPL_CH2_AW100_33,EA19,,,,,,828.51,798.83,889.82,906.8,942.44,937.73,938.25,952.45,962.26,963.97,962.72,965.44,970.08,994.4,1010.46,1109.73,1089.74,,,,
A,EUR,FAM,CPL_CH2_AW100_33,EA20,,,,,,,,,,,,,,,,,,,,,,,,,3627.37,3658.47
A,EUR,FAM,CPL_CH2_AW100_33,EA21,,,,,,,,,,,,,,,,,,,,,,,,,3555.0,3587.02
A,EUR,FAM,CPL_CH2_AW100_33,EE,287.6,287.6,345.12,345.12,460.16,460.16,460.16,460.16,460.16,460.16,460.16,460.32,460.32,460.32,460.32,1080.0,1200.0,1200.0,1320.0,1440.0,1440.0,1440.0,,,1920.0,1920.0
A,EUR,FAM,CPL_CH2_AW100_33,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,320.0,320.0,320.0,320.0,672.0,672.0,672.0,672.0,,,0.0,0.0
A,EUR,FAM,CPL_CH2_AW100_33,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
A,EUR,FAM,CPL_CH2_AW100_33,EU15,1097.74,1108.5,1130.03,1127.0,1147.19,1158.25,1154.31,1239.06,1204.98,1205.9,1241.85,1244.02,1285.66,1281.25,1304.04,1346.59,1294.56,1270.97,1286.7,1296.3,,,,,,
A,EUR,FAM,CPL_CH2_AW100_33,EU27_2020,,,,,,,,,,,,,,936.2,933.33,936.93,1020.6,1052.83,1094.65,1161.07,1291.06,1293.86,,,3391.33,3427.46
A,EUR,FAM,CPL_CH2_AW100_33,EU28,,,,,,,,,,,,,,1096.73,1113.65,1156.99,1186.04,1192.52,1225.88,1285.31,,,,,,
A,EUR,FAM,CPL_CH2_AW100_33,FI,2405.76,2405.76,2406.0,2406.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2536.1,2631.84,2631.84,2631.84,2418.6,2418.6,2396.64,2396.64,2396.64,2396.64,2396.64,,,2396.64,2396.64
A,EUR,FAM,CPL_CH2_AW100_33,FR,1250.51,1279.63,1321.88,1350.99,1350.99,1381.06,1381.06,1429.82,1422.41,1487.01,1487.01,1509.37,1524.5,1538.22,1549.74,1552.16,1553.61,1558.32,1569.97,1577.42,1582.16,1584.52,,,1791.24,1821.72
A,EUR,FAM,CPL_CH2_AW100_33,HR,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,645.65,0.0,0.0,,,953.51,741.62
A,EUR,FAM,CPL_CH2_AW100_33,HU,433.78,439.61,532.6,574.09,609.55,649.87,1089.84,1212.65,1269.13,1138.66,1158.7,1142.57,1103.54,1075.22,1033.98,1029.68,1024.92,1032.37,1000.97,981.25,908.75,890.33,,,807.49,802.47
A,EUR,FAM,CPL_CH2_AW100_33,IE,1051.34,1295.13,2060.0,2822.0,3122.4,3338.4,3549.6,3780.0,3948.0,3984.0,3600.0,3360.0,3360.0,3120.0,3120.0,3240.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,,,3920.0,3489.23
A,EUR,FAM,CPL_CH2_AW100_33,IS,1843.33,1699.28,1351.02,1235.56,1122.7,1441.34,1637.99,1479.17,1578.57,1452.44,1100.2,956.28,1405.45,1119.87,1054.89,945.71,1045.64,1553.49,2161.54,2041.55,2301.18,2438.77,,,,
A,EUR,FAM,CPL_CH2_AW100_33,IT,687.92,687.92,687.96,687.96,687.96,687.96,464.76,936.12,929.76,932.52,926.16,924.36,926.16,929.76,928.92,927.96,927.12,929.76,930.72,927.96,1369.92,1353.72,,,5604.0,5649.6
A,EUR,FAM,CPL_CH2_AW100_33,JP,0.0,0.0,0.0,0.0,446.3,438.44,821.81,744.19,787.14,920.67,2271.16,2649.6,2341.69,1850.99,1710.5,1786.91,1996.67,1894.09,1840.49,1967.05,1969.63,1847.86,,,,
A,EUR,FAM,CPL_CH2_AW100_33,LT,0.0,0.0,0.0,0.0,174.72,347.54,347.54,361.44,361.44,361.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,1203.84,1681.44,1680.0,,,2310.0,4670.4
